index,level,wave,droppedVestige,collectedVestige,collectedExp,totalDmgDealed,totalDmgReceived,detail
99,1,0,2,2,20,54,0,EndTime
100,1,1,9,5,75,162,0,AllDead
101,1,2,10,8,75,135,72,AllDead
102,1,3,16,16,120,317,40,AllDead
103,1,0,3,3,30,81,0,EndTime
104,1,1,8,6,65,135,0,AllDead
105,1,2,8,6,60,108,48,AllDead
106,1,3,14,12,105,247,26,AllDead
107,1,4,2,3,20,69,12,AllDead
108,1,5,6,8,45,81,0,AllDead
109,1,0,3,2,30,81,0,EndTime
110,1,1,8,7,65,148,0,AllDead
111,1,2,8,7,60,108,48,AllDead
112,1,3,12,10,90,205,14,AllDead
113,1,4,1,1,10,27,0,AllDead
114,1,5,6,6,45,94,0,AllDead
115,1,6,8,6,60,121,54,AllDead
116,1,7,4,10,30,229,16,EndTime
117,1,0,6,4,55,185,0,EndTime
118,1,1,5,5,40,93,0,AllDead
119,1,2,4,2,30,62,8,AllDead
120,1,3,12,12,90,231,14,AllDead
121,1,4,2,2,20,62,0,AllDead
122,1,5,4,4,30,62,0,AllDead
123,1,6,6,6,45,123,9,AllDead
124,1,7,4,4,30,62,0,AllDead
125,1,8,6,2,45,93,18,AllDead
126,1,9,6,8,45,93,0,AllDead
127,1,0,6,4,50,140,0,EndTime
128,1,1,5,5,45,140,0,AllDead
129,1,2,4,4,30,70,10,AllDead
130,1,3,12,19,90,225,0,AllDead
131,1,4,1,2,10,67,12,AllDead
132,1,5,4,4,30,70,0,AllDead
133,1,6,4,4,30,70,0,AllDead
134,1,7,4,6,30,87,0,AllDead
135,1,8,4,2,30,87,9,AllDead
136,1,9,6,4,45,105,0,AllDead
137,1,0,5,4,45,140,0,EndTime
138,1,1,6,5,50,140,0,AllDead
139,1,2,6,7,45,105,24,AllDead
140,1,3,12,12,90,240,10,AllDead
141,1,4,1,2,10,35,0,AllDead
142,1,5,6,4,45,122,0,AllDead
143,1,6,6,14,45,105,45,AllDead
144,1,7,6,13,45,105,0,AllDead
145,1,8,8,6,60,140,54,AllDead
146,1,9,8,6,60,174,0,AllDead
147,2,0,4,4,40,297,0,EndTime
148,2,1,9,5,50,315,0,EndTime
149,2,2,4,4,20,140,41,AllDead
150,2,0,4,3,40,385,0,EndTime
151,2,1,13,8,70,420,0,AllDead
152,2,2,20,22,80,385,90,EndTime
153,2,0,5,3,50,437,0,EndTime
154,2,1,8,6,40,385,0,EndTime
155,2,2,4,0,20,35,0,AllDead
156,2,0,4,4,40,298,6,EndTime
157,2,1,8,6,40,385,0,EndTime
158,2,2,4,3,20,70,10,AllDead
159,2,0,5,5,50,504,0,EndTime
160,2,1,24,20,108,511,0,AllDead
161,2,2,44,40,136,609,8,AllDead
162,2,3,32,28,108,470,44,EndTime
163,2,4,36,30,124,511,41,AllDead
164,2,0,9,5,70,494,0,EndTime
165,2,1,16,14,72,368,0,AllDead
166,2,2,48,44,152,631,0,AllDead
167,2,3,40,42,130,523,0,EndTime
168,2,4,24,0,86,456,0,AllDead
169,2,0,4,4,40,473,6,EndTime
170,2,1,20,8,92,455,0,AllDead
171,2,2,44,38,146,665,39,EndTime
172,2,3,8,12,22,87,44,AllDead
173,2,0,5,5,50,490,0,EndTime
174,2,1,24,20,108,525,0,AllDead
175,2,2,52,36,168,612,30,EndTime
176,2,3,0,8,0,0,0,AllDead
177,2,0,9,9,70,579,0,EndTime
178,2,1,12,6,56,111,0,AllDead
179,2,2,44,38,136,573,0,AllDead
180,2,3,52,30,168,663,22,EndTime
181,2,0,5,5,50,223,0,EndTime
182,2,1,28,24,124,832,0,AllDead
183,2,2,52,46,168,746,0,EndTime
184,2,3,0,2,0,0,0,AllDead
185,2,4,12,26,38,111,0,AllDead
186,2,0,5,5,50,204,0,EndTime
187,2,1,20,14,92,622,0,AllDead
188,2,2,48,40,152,653,0,AllDead
189,2,3,64,44,216,961,0,EndTime
190,2,4,4,12,16,37,0,AllDead
191,2,0,5,5,50,451,0,EndTime
192,2,1,28,24,124,579,0,AllDead
193,2,2,52,44,168,666,0,AllDead
194,2,3,44,40,136,536,0,AllDead
195,2,4,44,20,136,660,26,AllDead
196,2,0,5,5,50,494,0,EndTime
197,2,1,36,27,146,654,0,AllDead
198,2,2,48,34,162,733,0,EndTime
199,2,3,0,0,0,0,0,AllDead
200,2,4,48,52,132,667,148,EndTime
201,2,5,36,2,264,298,57,AllDead
202,2,0,5,5,50,536,0,EndTime
203,2,1,28,12,124,513,0,AllDead
204,2,2,56,22,184,765,0,AllDead
205,2,3,40,68,120,598,0,AllDead
206,2,4,48,34,152,666,49,AllDead
207,2,0,9,9,70,604,0,EndTime
208,2,1,16,15,72,348,0,AllDead
209,2,2,52,52,168,741,0,AllDead
210,2,3,44,40,146,467,0,EndTime
211,2,4,8,4,22,74,0,AllDead
212,2,0,9,9,70,556,0,EndTime
213,2,1,16,12,72,372,0,AllDead
214,2,2,48,40,152,691,0,AllDead
215,2,3,44,40,136,574,0,AllDead
216,2,4,32,12,88,383,0,AllDead
217,2,5,0,0,0,0,0,AllDead
218,2,6,8,0,22,37,0,AllDead
219,2,0,5,0,50,542,0,EndTime
220,2,1,12,13,60,185,0,AllDead
221,2,2,44,44,146,739,0,AllDead
222,2,3,44,44,136,697,0,AllDead
223,2,4,36,6,104,591,0,AllDead
224,2,5,0,0,0,0,0,AllDead
225,2,6,40,0,110,457,16,AllDead
226,2,7,20,6,66,420,81,AllDead
227,2,0,9,5,70,573,0,EndTime
228,2,1,24,7,104,462,0,AllDead
229,2,2,44,42,136,667,0,AllDead
230,2,3,52,42,168,653,9,AllDead
231,2,4,32,22,88,383,0,AllDead
232,2,5,20,16,220,74,34,AllDead
233,2,6,8,0,22,74,0,AllDead
234,2,7,26,50,113,605,33,EndTime
235,2,8,18,14,81,524,30,AllDead
236,2,0,9,9,70,598,0,EndTime
237,2,1,8,4,40,74,0,AllDead
238,2,2,52,46,168,672,0,AllDead
239,2,3,40,38,120,555,0,AllDead
240,2,4,36,2,104,511,0,AllDead
241,2,5,20,16,220,37,0,AllDead
242,2,6,8,0,22,74,0,AllDead
243,2,7,8,34,38,182,17,AllDead
244,2,8,26,34,125,763,116,EndTime
245,2,9,4,2,16,37,0,AllDead
246,3,0,60,60,120,476,0,EndTime
247,3,1,60,32,120,616,28,EndTime
